"Table 4","","","","","","","","","","","","",""
"January to June 2017–2018","","","","","","","","","","","","",""
"Offenses Reported to Law Enforcement ","","","","","","","","","","","","",""
"by State by City 100,000 and over in population","","","","","","","","","","","","",""
"State","City","","Population1","Violent 
crime","Murder","Rape2","Robbery","Aggravated 
assault","Property 
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson3"
"","TEMECULA","2017.0","115220.0","56.0","0.0","2.0","18.0","36.0","1436.0","204.0","1083.0","149.0","0.0"
"","","2018.0","","65.0","0.0","0.0","29.0","36.0","1334.0","213.0","973.0","148.0","0.0"
"","THOUSAND OAKS","2017.0","129240.0","73.0","0.0","22.0","11.0","40.0","837.0","137.0","626.0","74.0","6.0"
"","","2018.0","","51.0","2.0","13.0","13.0","23.0","707.0","104.0","545.0","58.0","2.0"
"","TORRANCE","2017.0","147482.0","146.0","0.0","17.0","57.0","72.0","1546.0","302.0","999.0","245.0","8.0"
"","","2018.0","","125.0","1.0","11.0","55.0","58.0","1353.0","238.0","978.0","137.0","7.0"
"","VALLEJO","2017.0","122174.0","541.0","10.0","46.0","187.0","298.0","2369.0","1256.0","603.0","510.0","20.0"
"","","2018.0","","474.0","4.0","42.0","170.0","258.0","2024.0","1069.0","490.0","465.0","20.0"
"","VENTURA","2017.0","110006.0","231.0","1.0","31.0","56.0","143.0","1822.0","297.0","1332.0","193.0","10.0"
"","","2018.0","","223.0","1.0","31.0","48.0","143.0","1728.0","274.0","1302.0","152.0","26.0"
"","VICTORVILLE","2017.0","123284.0","417.0","8.0","29.0","128.0","252.0","1700.0","402.0","968.0","330.0","27.0"
"","","2018.0","","389.0","5.0","25.0","126.0","233.0","1404.0","334.0","720.0","350.0","14.0"
"","VISALIA","2017.0","132143.0","245.0","6.0","36.0","79.0","124.0","2129.0","470.0","1342.0","317.0","8.0"
"","","2018.0","","215.0","1.0","45.0","68.0","101.0","2048.0","359.0","1432.0","257.0","7.0"
"","VISTA","2017.0","103004.0","189.0","4.0","22.0","54.0","109.0","746.0","159.0","460.0","127.0","7.0"
"","","2018.0","","155.0","1.0","21.0","41.0","92.0","735.0","138.0","445.0","152.0","0.0"
"","WEST COVINA","2017.0","108128.0","150.0","0.0","20.0","75.0","55.0","1266.0","259.0","811.0","196.0","6.0"
"","","2018.0","","128.0","0.0","7.0","72.0","49.0","1262.0","198.0","885.0","179.0","3.0"
"COLORADO","AURORA","2017.0","368018.0","1073.0","17.0","149.0","350.0","557.0","5380.0","811.0","3608.0","961.0","31.0"
"","","2018.0","","1275.0","9.0","183.0","293.0","790.0","5504.0","828.0","3572.0","1104.0","30.0"
"","CENTENNIAL","2017.0","111416.0","66.0","3.0","13.0","9.0","41.0","916.0","151.0","680.0","85.0","6.0"
"","","2018.0","","97.0","1.0","21.0","8.0","67.0","944.0","119.0","740.0","85.0","5.0"
"","COLORADO SPRINGS","2017.0","472958.0","1274.0","16.0","264.0","231.0","763.0","7185.0","1149.0","5097.0","939.0","61.0"
"","","2018.0","","1272.0","10.0","233.0","223.0","806.0","7147.0","1077.0","4942.0","1128.0","72.0"
"","DENVER","2017.0","706616.0","2318.0","29.0","341.0","557.0","1391.0","12255.0","2081.0","7786.0","2388.0","66.0"
"","","2018.0","","2494.0","36.0","347.0","570.0","1541.0","12947.0","2060.0","8302.0","2585.0","61.0"
"","FORT COLLINS","2017.0","167633.0","188.0","1.0","23.0","17.0","147.0","2149.0","241.0","1800.0","108.0","6.0"
"","","2018.0","","173.0","1.0","11.0","17.0","144.0","1790.0","181.0","1532.0","77.0","4.0"
"","GREELEY","2017.0","105906.0","192.0","1.0","28.0","23.0","140.0","1260.0","194.0","926.0","140.0","13.0"
"","","2018.0","","210.0","1.0","44.0","30.0","135.0","1308.0","182.0","986.0","140.0","11.0"
"","PUEBLO","2017.0","110872.0","555.0","3.0","108.0","97.0","347.0","3308.0","614.0","2156.0","538.0","24.0"
"","","2018.0","","558.0","3.0","88.0","109.0","358.0","3168.0","639.0","1966.0","563.0","31.0"
"","THORNTON6","2017.0","139825.0","219.0","2.0","71.0","33.0","113.0","","","1405.0","382.0","16.0"
"","","2018.0","","173.0","1.0","59.0","42.0","71.0","2186.0","236.0","1597.0","353.0","13.0"
"","WESTMINSTER","2017.0","115155.0","133.0","1.0","28.0","27.0","77.0","1765.0","203.0","1203.0","359.0","9.0"
"","","2018.0","","169.0","13.0","28.0","38.0","90.0","1729.0","150.0","1271.0","308.0","15.0"
"CONNECTICUT","BRIDGEPORT","2017.0","146110.0","600.0","12.0","27.0","264.0","297.0","1662.0","287.0","1022.0","353.0","8.0"
"","","2018.0","","439.0","5.0","29.0","131.0","274.0","1411.0","239.0","876.0","296.0","9.0"
"","HARTFORD","2017.0","122891.0","611.0","14.0","27.0","190.0","380.0","2296.0","341.0","1638.0","317.0","38.0"
"","","2018.0","","677.0","9.0","24.0","179.0","465.0","2311.0","332.0","1572.0","407.0","38.0"
"","STAMFORD","2017.0","130189.0","136.0","0.0","13.0","42.0","81.0","965.0","106.0","752.0","107.0","3.0"
"","","2018.0","","110.0","2.0","8.0","26.0","74.0","1026.0","110.0","805.0","111.0","3.0"
"","WATERBURY","2017.0","107924.0","249.0","3.0","26.0","124.0","96.0","1883.0","284.0","1203.0","396.0","6.0"
"","","2018.0","","247.0","3.0","30.0","96.0","118.0","2075.0","277.0","1395.0","403.0","5.0"
"FLORIDA","CAPE CORAL","2017.0","184346.0","118.0","3.0","8.0","12.0","95.0","1488.0","290.0","1126.0","72.0","1.0"
"","","2018.0","","123.0","0.0","6.0","28.0","89.0","1369.0","202.0","1084.0","83.0","1.0"
"","CLEARWATER","2017.0","115295.0","293.0","2.0","42.0","71.0","178.0","1848.0","249.0","1476.0","123.0","11.0"
"","","2018.0","","267.0","2.0","53.0","59.0","153.0","1680.0","185.0","1394.0","101.0","4.0"
"","CORAL SPRINGS","2017.0","131558.0","125.0","0.0","27.0","35.0","63.0","1287.0","112.0","1064.0","111.0","2.0"
"","","2018.0","","82.0","0.0","14.0","29.0","39.0","1035.0","104.0","855.0","76.0","1.0"
"","DAVIE","2017.0","103555.0","124.0","1.0","13.0","44.0","66.0","1347.0","145.0","1094.0","108.0","9.0"
"","","2018.0","","137.0","0.0","16.0","35.0","86.0","1374.0","107.0","1134.0","133.0","1.0"
"","FORT LAUDERDALE","2017.0","180972.0","523.0","4.0","37.0","214.0","268.0","5246.0","821.0","3978.0","447.0","8.0"
"","","2018.0","","505.0","11.0","33.0","162.0","299.0","4428.0","625.0","3368.0","435.0","5.0"
"","GAINESVILLE","2017.0","132777.0","472.0","2.0","81.0","94.0","295.0","2225.0","229.0","1854.0","142.0","3.0"
"","","2018.0","","501.0","4.0","74.0","113.0","310.0","2532.0","272.0","2087.0","173.0","5.0"
"","HIALEAH","2017.0","238260.0","232.0","2.0","15.0","77.0","138.0","2673.0","283.0","2042.0","348.0","16.0"
"","","2018.0","","281.0","1.0","18.0","84.0","178.0","2686.0","213.0","2094.0","379.0","1.0"
"","HOLLYWOOD","2017.0","153893.0","216.0","3.0","13.0","90.0","110.0","2391.0","393.0","1754.0","244.0","4.0"
"","","2018.0","","189.0","4.0","12.0","56.0","117.0","2101.0","249.0","1576.0","276.0","2.0"
"","JACKSONVILLE","2017.0","894638.0","2696.0","52.0","257.0","670.0","1717.0","15489.0","2832.0","11251.0","1406.0","52.0"
"","","2018.0","","2766.0","55.0","289.0","674.0","1748.0","15404.0","2458.0","11465.0","1481.0","45.0"
"","LAKELAND","2017.0","107927.0","154.0","1.0","35.0","39.0","79.0","1917.0","268.0","1540.0","109.0","0.0"
"","","2018.0","","159.0","3.0","45.0","32.0","79.0","1834.0","278.0","1465.0","91.0","0.0"
"","MIAMI","2017.0","463009.0","1665.0","26.0","41.0","510.0","1088.0","9265.0","1187.0","7044.0","1034.0","33.0"
"","","2018.0","","1419.0","27.0","56.0","396.0","940.0","8439.0","1091.0","6517.0","831.0","30.0"
"","MIAMI GARDENS","2017.0","114008.0","448.0","11.0","8.0","108.0","321.0","1727.0","214.0","1314.0","199.0","6.0"
"","","2018.0","","437.0","12.0","8.0","116.0","301.0","2149.0","251.0","1694.0","204.0","8.0"
